x,y,z,p,H2,T,U_0,U_1,U_2,rho,Mach_0,Mach_1,Mach_2,U_mag,Mach_mag,rad_dist
-0.0013781823,0.03564308,1.5183822e-19,98370.0,0.0,295.4,3.798461e-13,-4.298621e-14,-6.075953e-14,1.15506,1.2299674039801952e-15,2.974131542091406e-16,5.471716929472369e-16,3.8706923724470154e-13,1.3786483455592132e-15,0.9187882
-0.00041642482,0.083486155,0.00025366183,98370.0,0.0,295.4,1.5614226e-13,-6.833871e-14,-1.8552118e-16,1.15506,1.3103373382068677e-15,1.978843415264615e-16,7.524218795402812e-16,1.7044242154017857e-13,1.5239031587772729e-15,0.3250667997750489
-0.00025366183,0.058553845,-0.00041642482,98370.0,0.0,295.4,-1.491293e-13,2.0783138e-14,1.8916421e-13,1.15506,8.059045784598547e-16,1.3770286711282352e-16,1.4949441094513212e-15,2.417738308596304e-13,1.7039079081854313e-15,0.3250667997750489
-0.0014932879,0.043953847,0.0014932879,98370.0,0.0,295.4,-1.3105488e-13,8.9964905e-17,-1.1124553e-13,1.15506,9.039404197113469e-16,4.2152985502995433e-16,7.926490966067742e-16,1.7190391970656006e-13,1.2740048239394685e-15,1.407885333805092
-0.001007429,0.004196923,0.0037597984,95252.336,9.264909e-05,294.338,4.9674087,3.5427926,-17.760975,1.1211075,0.0144030787311853,0.0102713411411255,0.051489758143879,18.779743383499024,0.0544439557663589,2.5949521253287604
-0.0026058601,0.025086153,-0.0026058601,98704.15,3.8494105e-27,295.62286,-0.13720176,0.86129814,-0.13721284,1.1581125,0.0003971021503505,0.0024928580130354,0.0003971343237525,0.8828851411001449,0.0025553369370926,2.45682846337794
0.0012281717,0.048895385,0.0045836214,98370.0,0.0,295.4,3.3503023e-13,-9.130675e-14,-3.6562757e-14,1.15506,1.2389605677378897e-15,1.0036637156362449e-15,1.852868948374905e-15,3.4916903185829134e-13,2.444481025155661e-15,3.163541676540452
0.0018426349,0.023963077,-0.0031915514,132175.25,1.0238860999999999e-16,315.898,12.082812,74.86547,-20.987825,1.4503651,0.0337804165239436,0.2093482844401323,0.0586768181489786,78.68495245203411,0.2200245207394984,2.4568546932603774
0.0033619737,0.11356243,-0.0009008322,98370.0,0.0,295.4,-1.8828287e-13,-1.4987471e-13,1.0552915e-13,1.15506,8.484541513476994e-16,5.545678797879251e-16,3.941463936290594e-16,2.627722765680267e-13,1.0875529227777437e-15,2.32037983596063
0.0017618468,0.020369232,0.0017618468,105190.375,0.021733738,276.98038,85.558334,12.730327,85.079346,1.0389645,0.2258056572358194,0.0371997227485157,0.2245719012305647,121.3292415626596,0.3206314910213551,1.6610850929224252
-0.0017407954,0.071581535,1.7793022999999998e-19,98370.0,0.0,295.4,1.5048379e-13,-1.2822662e-14,-8.7710384e-14,1.15506,4.357469520038355e-16,2.278159240699968e-16,4.011703135194316e-16,1.7465080353367345e-13,6.345968183735075e-16,1.1605302666666666
0.0021569484,0.0046461537,-0.0037359586,95295.25,2.6920301e-05,294.59225,-8.886259,3.1337075,15.4028,1.1216263,0.0257626973459821,0.0090849787948459,0.0446536472073248,18.056355378387888,0.0523469351840172,2.875939503395293
0.002372638,0.082138464,-0.0041095437,98370.0,0.0,295.4,-6.284388e-14,3.6315636e-13,2.094498e-13,1.15506,1.3173531997419396e-15,1.0515702810246025e-15,1.5931228506909613e-15,4.239116815823126e-13,2.319323161225745e-15,3.1635254947783733
