x,y,z,p,H2,T,U_0,U_1,U_2,rho,Mach_0,Mach_1,Mach_2,U_mag,Mach_mag,rad_dist
-0.0033619737,0.067763075,0.0009008322,98370.0,0.0,295.4,-8.356712e-13,7.0355404e-14,-1.05881165e-13,1.15506,2.419803439609714e-15,2.056616539437264e-16,4.93036113341283e-16,8.452851935785937e-13,2.478069815664714e-15,2.32037983596063
-0.0036853154,0.010261538,1.5513156999999998e-19,87601.914,0.23582526,261.47787,-1.4011776,-47.1639,1.3689557,0.302562,0.0156135162001388,0.0738191151802069,0.0026340528759045,47.20456335552003,0.0754982244074237,2.456876933333333
0.0007924895,0.065292306,0.00045754042,98370.0,0.0,295.4,-9.144763e-14,1.5105818e-14,-2.92322e-14,1.15506,1.1281353795885833e-15,1.3587780132178834e-16,6.195930671184759e-16,9.718732575241498e-14,1.2942363695990005e-15,0.610057499491838
-0.0015188704,0.027781539,-0.0056685233,98370.0,0.0,295.4,-2.8731213e-08,3.6242713e-07,-1.0646775e-07,1.15506,8.319526170622187e-11,1.0494586578826623e-09,3.0829232290704036e-10,3.788327981452381e-07,1.096963573934278e-09,3.9123237593043534
-0.0014932879,0.055633847,-0.0014932879,98370.0,0.0,295.4,-1.1750961e-13,7.124128e-14,6.088207e-14,1.15506,6.655474493341305e-16,2.4414527818356173e-16,4.950008301322715e-16,1.5030121378709957e-13,8.6463064137591945e-16,1.407885333805092
0.0,0.038787693,0.0,98370.0,0.0,295.4,2.7893778e-15,-2.5683516e-14,1.3676873e-14,1.15506,1.020555078101215e-15,1.481538822025145e-16,7.325192129586098e-16,2.923149804049593e-14,1.2649374046186454e-15,0.0
0.0032781975,0.06708923,-1.5699931e-19,98370.0,0.0,295.4,8.3849664e-13,6.2951306e-14,-6.67997e-14,1.15506,2.4279848014843988e-15,4.632699428425975e-16,2.9021889824295395e-16,8.435055910534829e-13,2.488766008502602e-15,2.185465
-0.0031915514,0.015203077,-0.0018426349,85084.6,0.12900245,255.68437,-118.2455,-74.24456,-67.54658,0.47380513,0.2222607326366468,0.143804312230845,0.1278398566048786,155.10252554210714,0.29397711207698,2.4568546932603774
0.002372638,0.027107691,-0.0041095437,98370.0,0.0,295.4,5.1754014e-06,4.14497e-05,-8.980293e-06,1.15506,1.4986101251733022e-08,1.200234262438198e-07,2.6003701730922925e-08,4.2725964846998726e-05,1.237190307985948e-07,3.1635254947783733
1.5699931e-19,0.047323078,0.0032781975,98370.0,0.0,295.4,-3.2377873e-15,-1.13873e-13,6.86831e-13,1.15506,3.342413572248382e-16,3.297352349449785e-16,1.9888156563145312e-15,6.962143103647037e-13,2.0434848482055163e-15,2.185465
-0.0046863924,0.005769231,0.002705682,94748.83,2.5557924e-07,294.2,14.690325,-0.7345625,-8.536025,1.1170775,0.0426249906808311,0.0023721590880194,0.0247665711378455,17.006144579905705,0.0493548378095377,3.607583913671109
-0.0033709237,0.047772307,0.0019461956,98370.0,0.0,295.4,2.0124333e-13,-1.2830619e-13,-7.0741503e-13,1.15506,7.872288305038127e-16,3.963153407034961e-16,2.0484195443410333e-15,7.465905041799728e-13,2.2299815493612626e-15,2.594935572283576
0.0004505431,0.009363077,-0.0016814725,82028.766,0.26077774,285.15076,36.985233,584.2438,-101.24798,0.24631013,0.0512418256785418,0.8390327342050863,0.135793188269676,594.1042658932728,0.851493654554734,1.1605245659162278
0.00084845215,0.042156924,0.0031664888,98370.0,0.0,295.4,-4.957925e-14,1.5127977e-13,7.1170056e-13,1.15506,4.548503170560007e-16,4.48182806778675e-16,2.0974471788965208e-15,7.292882543590902e-13,2.192496592352866e-15,2.185459257238885
